"Article ID","State","State Code","Feature Name","Category","Slug","Meta Title","Meta Description","Status","Publish Date","Related Article 1","Related Article 2","Comparison Page"
"CA-001","California","CA","Encumbrance Accounting","Financial Mgmt","ca-encumbrance-accounting","California: Encumbrance Accounting Requirements & Implementation Guide","Plain-language guide to encumbrance accounting in California. Key requirements, implementation steps, official sources, and OpenGov solutions.","published","2025-12-20","CA-002","TX-001","ca-tx-co-comparison-encumbrance-accounting"
"CA-002","California","CA","General Ledger with Fund Accounting (GASB 54)","Financial Mgmt","ca-gasb-54-fund-accounting","California: GASB 54 Fund Accounting Requirements & Implementation","Guide to GASB 54 fund balance classification in California. Learn the five categories, reporting requirements, and best practices.","published","2025-12-20","CA-001","TX-002","ca-tx-co-comparison-gasb-54"
"CA-003","California","CA","Grant Management (Federal, State, Foundation)","Financial Mgmt","ca-grant-management","California: Grant Management Requirements & Compliance Guide","Complete guide to managing federal, state, and foundation grants in California. Tracking, reporting, and compliance requirements.","published","2025-12-20","CA-002","TX-003","ca-tx-co-comparison-grant-management"
"CA-004","California","CA","Leave Management (PTO, Sick, FMLA)","HR","ca-leave-management","California: Leave Management Requirements & Compliance","Guide to California leave laws: paid sick leave, PTO, and FMLA requirements for local governments.","published","2025-12-20","CA-005","TX-004","ca-tx-co-comparison-leave-management"
"CA-005","California","CA","Payroll Processing (Full-Service)","HR","ca-payroll-processing","California: Payroll Processing Requirements & Compliance","Complete guide to payroll processing in California including wages, taxes, deductions, and reporting requirements.","published","2025-12-20","CA-004","TX-005","ca-tx-co-comparison-payroll-processing"
"CA-006","California","CA","Property Tax Assessment (CAMA Integration)","Revenue","ca-property-tax-assessment","California: Property Tax Assessment & CAMA Integration Guide","Guide to property tax assessment requirements in California including CAMA systems and Prop 13 compliance.","published","2025-12-20","CA-007","TX-006","ca-tx-co-comparison-property-tax-assessment"
"CA-007","California","CA","Property Tax Billing & Collection","Revenue","ca-property-tax-billing-collection","California: Property Tax Billing & Collection Compliance","Guide to property tax billing and collection procedures in California including timelines, penalties, and requirements.","published","2025-12-20","CA-006","TX-007","ca-tx-co-comparison-property-tax-billing"
"CA-008","California","CA","Single Audit Support (A-133/Uniform Guidance)","Financial Mgmt","ca-single-audit-support","California: Single Audit Support & Uniform Guidance Compliance","Complete guide to Single Audit requirements for California local governments including SEFA generation and federal compliance.","published","2025-12-20","CA-003","TX-008","ca-tx-co-comparison-single-audit"
"CA-009","California","CA","Time & Attendance (Clock In/Out)","HR","ca-time-attendance","California: Time & Attendance Tracking Compliance","Guide to accurate time and attendance tracking in California including record requirements and compliance.","published","2025-12-20","CA-005","TX-009","ca-tx-co-comparison-time-attendance"
"CA-010","California","CA","Utility Billing (Water, Sewer, Electric, Gas, Trash)","Revenue","ca-utility-billing","California: Utility Billing Compliance & Requirements","Guide to utility billing compliance in California including billing procedures, customer rights, and regulatory requirements.","published","2025-12-20","CA-007","TX-010","ca-tx-co-comparison-utility-billing"
"CA-011","California","CA","eProcurement Portal (Supplier Self-Service)","Procurement","ca-eprocurement-portal","California: eProcurement Portal & Supplier Self-Service Guide","Guide to implementing eProcurement portals in California including supplier access, bid management, and compliance.","published","2025-12-20","CA-010","TX-011","ca-tx-co-comparison-eprocurement"
"TX-001","Texas","TX","Encumbrance Accounting","Financial Mgmt","tx-encumbrance-accounting","Texas: Encumbrance Accounting Requirements & Implementation","Guide to encumbrance accounting in Texas including budget tracking and fiscal control requirements.","published","2025-12-20","TX-002","CA-001","ca-tx-co-comparison-encumbrance-accounting"
"TX-002","Texas","TX","General Ledger with Fund Accounting (GASB 54)","Financial Mgmt","tx-gasb-54-fund-accounting","Texas: GASB 54 Fund Accounting Requirements & Implementation","Guide to GASB 54 fund balance classification in Texas. Learn the five categories, reporting requirements, and best practices.","published","2025-12-20","TX-001","CA-002","ca-tx-co-comparison-gasb-54"
"TX-003","Texas","TX","Grant Management (Federal, State, Foundation)","Financial Mgmt","tx-grant-management","Texas: Grant Management Requirements & Compliance Guide","Complete guide to managing federal, state, and foundation grants in Texas. Tracking, reporting, and compliance requirements.","published","2025-12-20","TX-002","CA-003","ca-tx-co-comparison-grant-management"
"TX-004","Texas","TX","Leave Management (PTO, Sick, FMLA)","HR","tx-leave-management","Texas: Leave Management Requirements & Compliance","Guide to Texas leave laws: paid time off and federal FMLA requirements for local governments.","published","2025-12-20","TX-005","CA-004","ca-tx-co-comparison-leave-management"
"TX-005","Texas","TX","Payroll Processing (Full-Service)","HR","tx-payroll-processing","Texas: Payroll Processing Requirements & Compliance","Complete guide to payroll processing in Texas including wages, taxes, deductions, and reporting requirements.","published","2025-12-20","TX-004","CA-005","ca-tx-co-comparison-payroll-processing"
"TX-006","Texas","TX","Property Tax Assessment (CAMA Integration)","Revenue","tx-property-tax-assessment","Texas: Property Tax Assessment & CAMA Integration Guide","Guide to property tax assessment requirements in Texas including CAMA systems and tax code compliance.","published","2025-12-20","TX-007","CA-006","ca-tx-co-comparison-property-tax-assessment"
"TX-007","Texas","TX","Property Tax Billing & Collection","Revenue","tx-property-tax-billing-collection","Texas: Property Tax Billing & Collection Compliance","Guide to property tax billing and collection procedures in Texas including timelines, penalties, and requirements.","published","2025-12-20","TX-006","CA-007","ca-tx-co-comparison-property-tax-billing"
"TX-008","Texas","TX","Single Audit Support (A-133/Uniform Guidance)","Financial Mgmt","tx-single-audit-support","Texas: Single Audit Support & Uniform Guidance Compliance","Complete guide to Single Audit requirements for Texas local governments including SEFA generation and federal compliance.","published","2025-12-20","TX-003","CA-008","ca-tx-co-comparison-single-audit"
"TX-009","Texas","TX","Time & Attendance (Clock In/Out)","HR","tx-time-attendance","Texas: Time & Attendance Tracking Compliance","Guide to accurate time and attendance tracking in Texas including record requirements and compliance.","published","2025-12-20","TX-005","CA-009","ca-tx-co-comparison-time-attendance"
"TX-010","Texas","TX","Utility Billing (Water, Sewer, Electric, Gas, Trash)","Revenue","tx-utility-billing","Texas: Utility Billing Compliance & Requirements","Guide to utility billing compliance in Texas including billing procedures, customer rights, and regulatory requirements.","published","2025-12-20","TX-007","CA-010","ca-tx-co-comparison-utility-billing"
"TX-011","Texas","TX","eProcurement Portal (Supplier Self-Service)","Procurement","tx-eprocurement-portal","Texas: eProcurement Portal & Supplier Self-Service Guide","Guide to implementing eProcurement portals in Texas including supplier access, bid management, and compliance.","published","2025-12-20","TX-010","CA-011","ca-tx-co-comparison-eprocurement"
"CO-001","Colorado","CO","Encumbrance Accounting","Financial Mgmt","co-encumbrance-accounting","Colorado: Encumbrance Accounting Requirements & Implementation","Guide to encumbrance accounting in Colorado including budget tracking and fiscal control requirements.","published","2025-12-20","CO-002","CA-001","ca-tx-co-comparison-encumbrance-accounting"
"CO-002","Colorado","CO","General Ledger with Fund Accounting (GASB 54)","Financial Mgmt","co-gasb-54-fund-accounting","Colorado: GASB 54 Fund Accounting Requirements & Implementation","Guide to GASB 54 fund balance classification in Colorado. Learn the five categories, reporting requirements, and best practices.","published","2025-12-20","CO-001","CA-002","ca-tx-co-comparison-gasb-54"
"CO-003","Colorado","CO","Grant Management (Federal, State, Foundation)","Financial Mgmt","co-grant-management","Colorado: Grant Management Requirements & Compliance Guide","Complete guide to managing federal, state, and foundation grants in Colorado. Tracking, reporting, and compliance requirements.","published","2025-12-20","CO-002","CA-003","ca-tx-co-comparison-grant-management"
"CO-004","Colorado","CO","Leave Management (PTO, Sick, FMLA)","HR","co-leave-management","Colorado: Leave Management Requirements & Compliance","Guide to Colorado leave laws: paid time off and federal FMLA requirements for local governments.","published","2025-12-20","CO-005","CA-004","ca-tx-co-comparison-leave-management"
"CO-005","Colorado","CO","Payroll Processing (Full-Service)","HR","co-payroll-processing","Colorado: Payroll Processing Requirements & Compliance","Complete guide to payroll processing in Colorado including wages, taxes, deductions, and reporting requirements.","published","2025-12-20","CO-004","CA-005","ca-tx-co-comparison-payroll-processing"
"CO-006","Colorado","CO","Property Tax Assessment (CAMA Integration)","Revenue","co-property-tax-assessment","Colorado: Property Tax Assessment & CAMA Integration Guide","Guide to property tax assessment requirements in Colorado including CAMA systems and tax code compliance.","published","2025-12-20","CO-007","CA-006","ca-tx-co-comparison-property-tax-assessment"
"CO-007","Colorado","CO","Property Tax Billing & Collection","Revenue","co-property-tax-billing-collection","Colorado: Property Tax Billing & Collection Compliance","Guide to property tax billing and collection procedures in Colorado including timelines, penalties, and requirements.","published","2025-12-20","CO-006","CA-007","ca-tx-co-comparison-property-tax-billing"
"CO-008","Colorado","CO","Single Audit Support (A-133/Uniform Guidance)","Financial Mgmt","co-single-audit-support","Colorado: Single Audit Support & Uniform Guidance Compliance","Complete guide to Single Audit requirements for Colorado local governments including SEFA generation and federal compliance.","published","2025-12-20","CO-003","CA-008","ca-tx-co-comparison-single-audit"
"CO-009","Colorado","CO","Time & Attendance (Clock In/Out)","HR","co-time-attendance","Colorado: Time & Attendance Tracking Compliance","Guide to accurate time and attendance tracking in Colorado including record requirements and compliance.","published","2025-12-20","CO-005","CA-009","ca-tx-co-comparison-time-attendance"
"CO-010","Colorado","CO","Utility Billing (Water, Sewer, Electric, Gas, Trash)","Revenue","co-utility-billing","Colorado: Utility Billing Compliance & Requirements","Guide to utility billing compliance in Colorado including billing procedures, customer rights, and regulatory requirements.","published","2025-12-20","CO-007","CA-010","ca-tx-co-comparison-utility-billing"
"CO-011","Colorado","CO","eProcurement Portal (Supplier Self-Service)","Procurement","co-eprocurement-portal","Colorado: eProcurement Portal & Supplier Self-Service Guide","Guide to implementing eProcurement portals in Colorado including supplier access, bid management, and compliance.","published","2025-12-20","CO-010","CA-011","ca-tx-co-comparison-eprocurement"
