L1,L2,L3,L3 Name,L4,L4 Name,Description,Product Gaps,Now/Next/Later,Links to Details,Notes/Remarks
FIN-Financials,AP - New Accounts Payable,,,,,,,N/A,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,,,,"Invoice approval workflows, Multi-entity invoice processing, Invoice import/export capabilities, Automated invoice routing, Invoice templates and customization",N/A,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.01,"Manual Invoice Entry, Creation & Validation","#CORE. Manual invoice data entry with field validation, duplicate checking, and GL account validation. Supports header/line entry with flexible distribution.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.02,Quick Invoices (Immediate Payment),"#EXPEDITED. Streamlined invoice entry for immediate payment processing, bypassing accrual. Used for urgent payments, petty cash, and one-time disbursements.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.03,"Matching (Three-Way, Two-Way), Rules & Tolerances","#CORE. Automated matching of invoices to POs and receipts. Configurable matching rules, tolerances (price, quantity), and exception routing.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.03.01,"Matching (two-way), rules & tolerances",,,Now,2-way matching rules and tolerances,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.03.02,"Matching (three-way), rules & tolerances",,,Next,3-way matching rules and tolerances,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.04,Invoice Approval Workflow,"#WORKFLOW. Configurable approval routing based on amount, GL account, department, vendor, or custom rules. Supports parallel, serial, and conditional approvals with budget checking.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.05,"Invoice Holds, Exceptions & Resolution","#EXCEPTION HANDLING. System and user-defined holds for invoices requiring review. Exception workflows for matching failures, budget overruns, and compliance issues.",,Now,part of the invoice approval workflow,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.06,"Credit Memos, Debit Memos, Negative Invoices & Adjustments","#ADJUSTMENTS. Process vendor credits, returns, price adjustments, and invoice corrections. Support for negative invoices and GL adjustments with proper accounting treatment.",,Now,credit memos will be part of vendor portal but we should be able to adjust it against an invoice payment and ability to issue debit notes,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.07,"Invoice Lifecycle Management (Void, Cancel, Delete)","#LIFECYCLE. Complete invoice lifecycle management including void, cancel, delete, close, and reopen capabilities with proper GL reversals and audit trail.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.08,Recurring Invoices & Auto-Generation,"#AUTOMATION. Automated creation of recurring invoices based on schedules (monthly, quarterly, etc.). Template-based generation with configurable date and amount logic.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.09,Duplicate Invoice Detection & Prevention,"#FRAUD PREVENTION. Real-time duplicate detection using vendor, invoice number, amount, and date. Configurable matching rules with manual override capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.10,Prepayments & Advance Payments (special invoice type),#SPECIAL INVOICES. Process prepayments and advance payments with proper accounting treatment. Track prepayment balances and automatic application to final invoices.,,Next,research and see if this can be moved to Next or later or not to do,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.11,"Freight, Tax & Discount Processing","#CALCULATIONS. Automated calculation and distribution of freight, tax, and discounts across invoice lines. Supports multiple tax jurisdictions and discount terms.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.12,Withholding & Retainage Processing,#CONSTRUCTION/CONTRACTS. Calculate and track withholding and retainage amounts per contract or vendor rules. Support automatic release based on milestones or percentages.,,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.13,GL Distribution & Accounting (Transactional Allocation),"#ACCOUNTING. Flexible GL distribution with split allocation across multiple accounts, funds, departments, and projects. Support for templates and default distributions.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.14,Invoice Balance Tracking & Inquiry,"#INQUIRY. Real-time tracking of invoice balances including amounts invoiced, paid, credited, and outstanding. Drill-down to transaction detail and payment history.",,Now,needed to support partial payments,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.15,Invoice Processing Audit & History,"#AUDIT. Complete audit trail of all invoice transactions including creates, updates, approvals, and payments. Field-level change tracking with user/date/time stamps.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.16,Purchasing (PO) Integration,"#INTEGRATION. Bi-directional integration with Purchasing for PO data, invoice creation from PO, PO balance updates, and encumbrance synchronization.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.17,Receiving Integration,"#INTEGRATION. Integration with Receiving for GRN data, automatic invoice creation from receipt, and three-way match processing.",,Now,TBD - dependency on PRO,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.18,General Ledger (GL) Integration & Posting,"#INTEGRATION. Real-time or batch posting to GL with configurable account mapping, period control, and encumbrance accounting. Support for pre-encumbrance and accrual entries.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.19,Contracts Integration & Spend Tracking,"#INTEGRATION. Link invoices to contracts for spend tracking, compliance monitoring, and contract balance management. Support for contract terms and pricing validation.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.20,Project Accounting Integration & Cost Allocation,"#INTEGRATION. Allocate invoice costs to projects with task/phase breakdown. Support for project billing, cost tracking, and budget management.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.21,Fixed Assets Integration,#INTEGRATION. Automatic asset creation from qualifying invoices. Asset information capture and synchronization with Fixed Assets module for depreciation.,,Next,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.22,Bulk Invoice Imports,"#DATA IMPORT. Bulk import of invoices from Excel, CSV, or other systems. Template-based import with validation, error handling, and preview capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.23,Invoice APIs for Integrations,"#INTEGRATION. REST APIs and integration points for external systems including refund invoices from Payroll/HCM, UB/AR/CR, and third-party applications.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.24,Invoice Payment Schedules & Installments,"#PAYMENT SCHEDULING. Split invoice into multiple scheduled payments with separate due dates. Support for installment plans, milestone payments, and progress billing.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.25,Invoice Reports & Inquiries,"#REPORTING. Comprehensive invoice reporting including aging, registers, exception reports, and drill-down inquiry capabilities with export options.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.26,Invoice Security & Access Control (RBAC),"#SECURITY. Comprehensive security for invoice processing including role-based access control, data masking for PII/sensitive data, field-level security, and segregation of duties controls.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.27,Invoice Data Archival & Retention,#DATA MANAGEMENT. Automated archival of closed invoices per retention policies. Compressed storage with retrieval capability for audit and legal hold requirements.,,Later,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.28,Budget checking and encumbrance,"#BUDGET CONTROL. Real-time budget availability checking at invoice entry and approval. Encumbrance creation, tracking, and liquidation with fund accounting support.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,,,,"Advanced OCR/AI invoice capture, Multi-format invoice ingestion, Vendor portal invoice submission, Capture accuracy and confidence scoring",N/A,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.01,Invoice Capture via AI/OCR,#AUTOMATION. AI-powered OCR to extract data from invoice images/PDFs. Machine learning for field recognition with confidence scoring and validation.,,Now,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.02,Scanner Integration,#HARDWARE. Direct integration with network and desktop scanners. Scan-to-inbox workflow with automatic invoice detection and processing.,,Next,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.03,Mobile Invoice Capture,#MOBILE. Mobile app for iOS/Android to capture invoices via camera. Real-time upload and processing with on-device preview and validation.,,Next,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.04,"AI Learning, Training & Auto-Suggestion","#AI/ML. Continuous machine learning from user corrections. Auto-suggestion for GL coding, vendor matching, and distribution based on historical patterns.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.05,Vendor Portal Invoice Submission,#VENDOR PORTAL. Self-service portal for vendors to submit invoices electronically. Automated validation and routing to AP with status tracking for vendors.,,Next,TBD on vendor portal,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.06,Email Invoice Capture & Automated Processing,"#EMAIL. Dedicated email inbox for invoice submission. Automatic email parsing, attachment extraction, and OCR processing with intelligent routing.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.07,EDI Integration,#EDI. Electronic Data Interchange (EDI 810/EDIFACT INVOIC) for automated invoice receipt from suppliers. Standards-based integration with mapping and validation.,,Later,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.08,Bill.com Integration,"#3RD PARTY. Integration with Bill.com for invoice receipt, approval, and payment processing. Bi-directional sync for invoice and payment data.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.09,Invoice Capture Monitoring & Reports,"#MONITORING. Dashboard and reports for capture performance, accuracy rates, processing volumes, and exception tracking with trend analysis.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.02,Invoice Capture & Automation,AP.02.10,Invoice Capture Security & Access Control,"#SECURITY. Security controls for capture channels including portal access, email authentication, and OCR queue permissions with audit logging.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,,,,"Payment automation and scheduling, Multi-currency payment support, Automated payment matching, Payment batch processing optimization, Warrant processing for government",N/A,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.01,Payment Bank Accounts Configuration,"#CONFIGURATION. Setup and maintain bank accounts for disbursements. Configure account numbers, routing, check stock, and payment method assignment by account.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.02,Payment Method Selection & Assignment,"#CONFIGURATION. Configure payment methods and assignment rules. Default methods by vendor, amount threshold, or invoice type with override capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.03,Payment Selection & Batching,"#CORE. Select invoices for payment based on due date, discount date, vendor, GL account, or custom criteria. Group into payment batches for processing.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.04,Scheduled & Recurring Payments,#AUTOMATION. Automated scheduled payments based on due dates. Support for recurring payment schedules with automatic batch creation and processing.,,Next,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.05,Check Payment Processing & Positive Pay,"#CHECK. Print checks with MICR encoding, signatures, and stub detail. Generate positive pay files for fraud prevention with manual and automatic transmission.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.06,ACH/EFT Payment Processing,"#ACH. Generate NACHA-compliant ACH files (CCD/CTX) for electronic payments. Support for prenotes, NOC handling, and return processing (R-codes).",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.07,Wire Transfer Payment Processing,"#WIRE. Process domestic and international wire transfers. Support for SWIFT, Fedwire with beneficiary information and purpose codes.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.08,Credit Card & Virtual Card Payment Processing,#CARD. Process payments via corporate credit cards and virtual card numbers. Integration with card providers and reconciliation support.,,Later,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.09,Manual Check & External Payment Recording (online + import),"#MANUAL RECORDING. Record payments made outside the system (manual checks, wires, ACH). Support for one-time payees, citizen refunds, and bulk import.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.10,Payment Approval Workflow,"#WORKFLOW. Approval workflow for payment batches based on amount, GL account, or custom rules. Support for parallel/serial approvals with delegation and mobile access.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.11,Payment Execution & Disbursement,"#EXECUTION. Final payment processing and disbursement. Update invoice status, create accounting entries, and generate payment confirmations with audit trail.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.12,Payment GL Integration & Posting,"#ACCOUNTING. Create GL journal entries for payments. Cash account credits, AP liability debits, discount recognition, and encumbrance liquidation.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.13,Inter-fund Payments & Consolidated Cash,#GOVERNMENT. Inter-fund payments and transfers with due-to/due-from accounting. Consolidated cash management across funds with automatic clearing entries.,,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.14,Remittance Advice & Payment Notifications,"#COMMUNICATION. Generate and deliver remittance advice to vendors. Email, print, and vendor portal delivery with invoice detail and payment information.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.15,"Payment Void, Stop, Cancel, Reversal and Undo","#LIFECYCLE. Void issued payments, stop checks, cancel electronic payments, and reverse GL entries. Support for partial voids and reissue capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.16,Payment Processing Audit & History,"#AUDIT. Complete payment audit trail with all transaction history, approvals, voids, and changes. Immutable logging for compliance and audit support.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.17,Payment Reports & Inquiries,"#REPORTING. Comprehensive payment reporting including check registers, ACH files, wire summaries, and cash requirements. Drill-down inquiry with export capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.18,Payment Security & Access Control (RBAC),"#SECURITY. Comprehensive payment security including role-based access control, data masking, payment file encryption at rest, dual custody controls, and PCI-DSS/SOC 2 compliance.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.03,Payment Processing & Disbursement,AP.03.19,Payment Data Archival & Retention,"#DATA MANAGEMENT. Automated archival of payment history per retention policies. Support for check images, ACH files, and remittance with retrieval for audit and legal hold.",,Later,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,,,,"Direct bank API integrations, Real-time payment status, Payment file encryption and security, Automated payment reconciliation",N/A,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.01,Bank Integration / Connectivity Configuration,"#CONFIGURATION. Configure bank connections for API and file-based integration. Setup authentication, endpoints, file formats, and transmission schedules.",,Later,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.02,Printer Integration & Automated Check Printing,"#PRINTER. Integration with network and local printers for automated check printing. Support for multiple check stocks, alignment, and print job management.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.03,Direct Bank API Integration for Real-Time Payments,"#BANK API. Real-time payment initiation via bank APIs. Support for FedNow, RTP (Real-Time Payments), same-day ACH, and instant wire transfers.",,Later,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.04,Payment File Generation & Automated Transmission,"#FILE AUTOMATION. Automated generation and transmission of payment files (ACH, wire, positive pay). Scheduled file delivery via SFTP/FTPS with encryption.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.05,Positive Pay Automated Transmission & Integration,#FRAUD PREVENTION. Automated positive pay file generation and transmission to bank. Real-time exception alerts and automated reconciliation of cashed checks.,,Now,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.06,Third-Party Payment Aggregator Integration,"#3RD PARTY. Integration with payment aggregators (Stripe, Square, PayPal) for alternative payment methods and reconciliation.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.07,Bill.com Integration,#BILL.COM. Bi-directional integration with Bill.com for payment processing. Export payment batches and import confirmation and status updates.,,Next,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.08,Vendor Portal Payment & Remittance Integration,"#VENDOR PORTAL. Post payment and remittance information to vendor portal. Allow vendors to view payment status, remittances, and download documentation.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.09,"Integration Monitoring, Logs & Reports","#MONITORING. Dashboard and reporting for integration health, transaction volumes, errors, and SLA compliance with alerting and troubleshooting tools.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.04,Payment Automation & Integrations,AP.04.10,Integration Security & Access Control,"#SECURITY. Security controls for integrations including API key management, encryption, access logging, and compliance with PCI-DSS and data protection standards.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,,,,,N/A,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.01,1099 Configuration & Setup,"#CONFIGURATION. System-wide 1099 configuration including form types (MISC/NEC/DIV/INT), box mapping, payment codes, tax codes, thresholds, and multi-entity setup.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.02,1099 Vendor Eligibility & W-9 Management,"#VENDOR SETUP. Vendor-level 1099 eligibility, W-9 capture and validation, TIN verification, and exemption management with automated TIN matching via IRS bulk API.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.03,1099 Transaction Tracking & Accumulation,"#TRACKING. Track 1099-eligible payments throughout the year. Automatic box assignment, threshold monitoring, multi-entity support, and real-time balance inquiry.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.04,1099 Form Generation & Printing,"#REPORTING. Generate 1099 forms (MISC/NEC/DIV/INT) for vendor and IRS copies. On-demand and bulk generation with preview, validation, and batch printing.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.05,IRS IRIS E-File Integration & TIN matching,"#IRS FILING. Electronic filing to IRS via IRIS portal. Support for original filings, corrections, extensions, Combined Federal/State (CF/SF), and bulk TIN matching.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.06,Third-Party 1099 Filing Integration (TaxBandit),"#3RD PARTY FILING. Integration with third-party 1099 filing services (TaxBandit, Tax1099, Sovos, ADP). Export data and import filing confirmations.",,Now,continue for taxBandits atleast,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.07,"1099 Corrections, Amendments & Reissues","#CORRECTIONS. Void and reissue 1099 forms, file corrections with IRS, update TIN information, and restate amounts with proper audit trail.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.08,Backup Withholding & B-Notice Workflow,"#BACKUP WITHHOLDING. Process IRS B-Notices, automatically withhold at 24%, generate First/Second B-Notices, and track TIN correction status.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.09,Foreign Vendor Tax Reporting,"#FOREIGN TAX. 1042/1042-S reporting for foreign vendors. Tax treaty management, FATCA compliance, W-8 form capture, and foreign tax withholding.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.10,Unclaimed Property / Escheatment Processing,"#ESCHEATMENT. Identify dormant payments and unclaimed property. Apply state-specific aging rules, track owner information, and classify property types.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.11,Escheatment Due Diligence & State Remittance,"#ESCHEATMENT REPORTING. Due-diligence letters to owners, address verification, NAUPA III file generation, and state-specific remittance reporting.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.12,"Tax Compliance Audit, Reporting & History","#AUDIT & REPORTING. Comprehensive 1099 and escheatment audit reports. Compliance dashboards, exception tracking, IRS correspondence log, and historical archives.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.13,1099 Security & Access Control (RBAC),"#SECURITY. Role-based access control for 1099 functions with data masking, PII protection, security by tax year and entity, and segregation of duties for filing and corrections.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.05,1099 & Tax Compliance,AP.05.14,1099 Data Archival & Long-Term Retention,"#DATA MANAGEMENT. Long-term retention of 1099 data per IRS and state requirements (7+ years). Archived 1099 retrieval, legal hold, and secure storage.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",,,,"Real-time AP dashboards, Predictive analytics and forecasting, Custom dashboard creation, Mobile dashboard access, AP performance benchmarking",N/A,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.01,Vendor Analytics & Risk Metrics,"#VENDOR ANALYTICS. Analyze vendor spend concentration, payment frequency, compliance risk, and performance. Support for duplicate vendor detection and supplier oversight.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.02,AP Dashboards & KPIs,"#DASHBOARDS. Real-time AP dashboards with key performance indicators. Track open invoices, payments, approval bottlenecks, aging, and process efficiency.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.03,AP Data Visualizations & Trend Analysis,"#VISUALIZATIONS. Interactive charts and graphs for AP data. Trend analysis, period comparisons, drill-down capabilities, and visual analytics for insights.",,Later,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.04,Custom Reports & Report Builder,"#CUSTOM REPORTING. User-defined reports and ad-hoc queries. Drag-drop report builder with saved templates, scheduling, and distribution capabilities.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.05,BI Tool Integration & Data Access,"#BI INTEGRATION. Integration with external BI tools (Power BI, Tableau, Excel). ODBC/REST API access for real-time data feeds and warehouse integration.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.06,Open Data & Transparency APIs,"#TRANSPARENCY. Open checkbook API for public spend transparency. CSV/JSON export with privacy filters, GFOA transparency alignment, and public portal integration.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.07,Document Management & Imaging,"#DOCUMENT MANAGEMENT. Centralized document repository for AP. Full-text search, indexing, version control, and secure storage with retrieval capabilities.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.06,"Dashboards, Visualizations & Analytics",AP.06.08,Legal Hold & Records Retention,"#COMPLIANCE. Legal hold management for AP documents. Retention schedules, immutable storage, audit/public records export packages, and e-discovery support.",,Later,,